"species.host"	"within_host_relative_abundance"
"Alistipes_putredinis_61533.HMP_SRS075878"	0.111603201079
"Alistipes_putredinis_61533.HMP_SRS045004"	0.0620767520928
"Alistipes_putredinis_61533.HMP_SRS017103"	0.0699501094066
"Alistipes_putredinis_61533.HMP_SRS893382"	0.0367470226321
"Alistipes_putredinis_61533.HMP_SRS893383"	0.0775732301089
"Alistipes_putredinis_61533.HMP_SRS893380"	0.061389963916
"Alistipes_putredinis_61533.HMP_SRS019910"	0.0169439951064
"Alistipes_putredinis_61533.HMP_SRS019178"	0.0619902030881
"Alistipes_putredinis_61533.HMP_SRS1055034"	0.13003003421
"Alistipes_putredinis_61533.HMP_SRS015782"	0.0922986420765
"Alistipes_putredinis_61533.HMP_SRS055017"	0.0900414291316
"Alistipes_putredinis_61533.HMP_SRS019693"	0.154891960789
"Alistipes_putredinis_61533.HMP_SRS063928"	0.0734955479902
"Alistipes_putredinis_61533.HMP_SRS015388"	0.0419693692195
"Alistipes_putredinis_61533.HMP_SRS077231"	0.0834393699998
"Alistipes_putredinis_61533.HMP_SRS144135"	0.105592389318
"Alistipes_putredinis_61533.HMP_SRS013940"	0.0376818251587
